line name,measurement type,Value
S2.C3.R3.LY,abs @470nm w/DMSO,3.39238
S2.C3.R3.P1,promoter 1,16.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,3.0
S2.C3.R3.LY,abs @470nm w/DMSO,3.01575
S2.C3.R3.P1,promoter 1,16.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,9.0
S2.C3.R3.LY,abs @470nm w/DMSO,3.8309
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,5.0
S2.C3.R3.P3,promoter 3,9.0
S2.C3.R3.LY,abs @470nm w/DMSO,3.4567
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,6.0
S2.C3.R3.P3,promoter 3,1.0
S2.C3.R3.LY,abs @470nm w/DMSO,2.92591
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,8.0
S2.C3.R3.P3,promoter 3,18.0
S2.C3.R3.LY,abs @470nm w/DMSO,3.88091
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,9.0
S2.C3.R3.P3,promoter 3,3.0
S2.C3.R3.LY,abs @470nm w/DMSO,1.4724
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,3.0
S2.C3.R3.LY,abs @470nm w/DMSO,2.50036
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,4.0
S2.C3.R3.LY,abs @470nm w/DMSO,3.28928
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,5.0
S2.C3.R3.LY,abs @470nm w/DMSO,3.06573
S2.C3.R3.P1,promoter 1,17.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,6.0
S2.C3.R3.LY,abs @470nm w/DMSO,1.92428
S2.C3.R3.P1,promoter 1,18.0
S2.C3.R3.P2,promoter 2,3.0
S2.C3.R3.P3,promoter 3,14.0
S2.C3.R3.LY,abs @470nm w/DMSO,2.38685
S2.C3.R3.P1,promoter 1,18.0
S2.C3.R3.P2,promoter 2,3.0
S2.C3.R3.P3,promoter 3,10.0
S2.C3.R3.LY,abs @470nm w/DMSO,6.23257
S2.C3.R3.P1,promoter 1,18.0
S2.C3.R3.P2,promoter 2,3.0
S2.C3.R3.P3,promoter 3,15.0
S2.C3.R3.LY,abs @470nm w/DMSO,7.78553
S2.C3.R3.P1,promoter 1,18.0
S2.C3.R3.P2,promoter 2,8.0
S2.C3.R3.P3,promoter 3,3.0
S2.C3.R3.LY,abs @470nm w/DMSO,2.02536
S2.C3.R3.P1,promoter 1,18.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,2.0
S2.C3.R3.LY,abs @470nm w/DMSO,8.85361
S2.C3.R3.P1,promoter 1,19.0
S2.C3.R3.P2,promoter 2,10.0
S2.C3.R3.P3,promoter 3,3.0
S2.C3.R3.LY,abs @470nm w/DMSO,1.15766
S2.C3.R3.P1,promoter 1,20.0
S2.C3.R3.P2,promoter 2,11.0
S2.C3.R3.P3,promoter 3,12.0
S2.C3.R3.LY,abs @470nm w/DMSO,5.78491
S3.C3.R3.P1,promoter 1,4.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,14.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.02883
S3.C3.R3.P1,promoter 1,6.0
S3.C3.R3.P2,promoter 2,1.0
S3.C3.R3.P3,promoter 3,17.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.70686
S3.C3.R3.P1,promoter 1,9.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,4.72626
S3.C3.R3.P1,promoter 1,10.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,15.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.60208
S3.C3.R3.P1,promoter 1,10.0
S3.C3.R3.P2,promoter 2,6.0
S3.C3.R3.P3,promoter 3,12.0
S3.C3.R3.LY,abs @470nm w/DMSO,8.1527
S3.C3.R3.P1,promoter 1,11.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.83597
S3.C3.R3.P1,promoter 1,12.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,11.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.42046
S3.C3.R3.P1,promoter 1,12.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,4.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.10742
S3.C3.R3.P1,promoter 1,12.0
S3.C3.R3.P2,promoter 2,12.0
S3.C3.R3.P3,promoter 3,12.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.2896
S3.C3.R3.P1,promoter 1,14.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,15.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.97727
S3.C3.R3.P1,promoter 1,15.0
S3.C3.R3.P2,promoter 2,6.0
S3.C3.R3.P3,promoter 3,2.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.5274
S3.C3.R3.P1,promoter 1,15.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,5.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.01347
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,2.0
S3.C3.R3.P3,promoter 3,2.0
S3.C3.R3.LY,abs @470nm w/DMSO,4.58833
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,2.0
S3.C3.R3.P3,promoter 3,12.0
S3.C3.R3.LY,abs @470nm w/DMSO,6.80154
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,14.0
S3.C3.R3.LY,abs @470nm w/DMSO,6.4464
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,4.0
S3.C3.R3.P3,promoter 3,1.0
S3.C3.R3.LY,abs @470nm w/DMSO,5.12821
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,4.0
S3.C3.R3.P3,promoter 3,2.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.58788
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,5.0
S3.C3.R3.P3,promoter 3,1.0
S3.C3.R3.LY,abs @470nm w/DMSO,8.82217
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,5.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,4.2952
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,6.0
S3.C3.R3.P3,promoter 3,2.0
S3.C3.R3.LY,abs @470nm w/DMSO,8.62283
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,7.0
S3.C3.R3.P3,promoter 3,1.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.66384
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,7.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.1559
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,7.0
S3.C3.R3.P3,promoter 3,14.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.55036
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,8.0
S3.C3.R3.P3,promoter 3,1.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.74786
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,8.0
S3.C3.R3.P3,promoter 3,2.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.42699
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,8.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.75903
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,8.0
S3.C3.R3.P3,promoter 3,13.0
S3.C3.R3.LY,abs @470nm w/DMSO,4.42831
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,9.0
S3.C3.R3.P3,promoter 3,12.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.51211
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.84042
S3.C3.R3.P1,promoter 1,16.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,9.0
S3.C3.R3.LY,abs @470nm w/DMSO,4.15398
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,5.0
S3.C3.R3.P3,promoter 3,9.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.79393
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,6.0
S3.C3.R3.P3,promoter 3,1.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.85787
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,8.0
S3.C3.R3.P3,promoter 3,18.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.57906
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,9.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.48973
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.50036
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,4.0
S3.C3.R3.LY,abs @470nm w/DMSO,3.4027
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,5.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.95753
S3.C3.R3.P1,promoter 1,17.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,6.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.76945
S3.C3.R3.P1,promoter 1,18.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,14.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.27836
S3.C3.R3.P1,promoter 1,18.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,10.0
S3.C3.R3.LY,abs @470nm w/DMSO,5.7368
S3.C3.R3.P1,promoter 1,18.0
S3.C3.R3.P2,promoter 2,3.0
S3.C3.R3.P3,promoter 3,15.0
S3.C3.R3.LY,abs @470nm w/DMSO,7.69706
S3.C3.R3.P1,promoter 1,18.0
S3.C3.R3.P2,promoter 2,8.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,2.25322
S3.C3.R3.P1,promoter 1,18.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,2.0
S3.C3.R3.LY,abs @470nm w/DMSO,8.96028
S3.C3.R3.P1,promoter 1,19.0
S3.C3.R3.P2,promoter 2,10.0
S3.C3.R3.P3,promoter 3,3.0
S3.C3.R3.LY,abs @470nm w/DMSO,1.1866
S3.C3.R3.P1,promoter 1,20.0
S3.C3.R3.P2,promoter 2,11.0
S3.C3.R3.P3,promoter 3,12.0
S3.C3.R3.LY,abs @470nm w/DMSO,5.71436
S4.C3.R3.P1,promoter 1,4.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,14.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.68069
S4.C3.R3.P1,promoter 1,6.0
S4.C3.R3.P2,promoter 2,1.0
S4.C3.R3.P3,promoter 3,17.0
S4.C3.R3.LY,abs @470nm w/DMSO,1.86751
S4.C3.R3.P1,promoter 1,9.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,4.72626
S4.C3.R3.P1,promoter 1,10.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,15.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.39507
S4.C3.R3.P1,promoter 1,10.0
S4.C3.R3.P2,promoter 2,6.0
S4.C3.R3.P3,promoter 3,12.0
S4.C3.R3.LY,abs @470nm w/DMSO,8.354
S4.C3.R3.P1,promoter 1,11.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.04252
S4.C3.R3.P1,promoter 1,12.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,11.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.25562
S4.C3.R3.P1,promoter 1,12.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,4.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.07211
S4.C3.R3.P1,promoter 1,12.0
S4.C3.R3.P2,promoter 2,12.0
S4.C3.R3.P3,promoter 3,12.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.34411
S4.C3.R3.P1,promoter 1,14.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,15.0
S4.C3.R3.LY,abs @470nm w/DMSO,4.26479
S4.C3.R3.P1,promoter 1,15.0
S4.C3.R3.P2,promoter 2,6.0
S4.C3.R3.P3,promoter 3,2.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.43714
S4.C3.R3.P1,promoter 1,15.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,5.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.77376
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,2.0
S4.C3.R3.P3,promoter 3,2.0
S4.C3.R3.LY,abs @470nm w/DMSO,4.70162
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,2.0
S4.C3.R3.P3,promoter 3,12.0
S4.C3.R3.LY,abs @470nm w/DMSO,7.29921
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,14.0
S4.C3.R3.LY,abs @470nm w/DMSO,6.59808
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,4.0
S4.C3.R3.P3,promoter 3,1.0
S4.C3.R3.LY,abs @470nm w/DMSO,4.83349
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,4.0
S4.C3.R3.P3,promoter 3,2.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.55744
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,5.0
S4.C3.R3.P3,promoter 3,1.0
S4.C3.R3.LY,abs @470nm w/DMSO,8.41183
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,5.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.77023
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,6.0
S4.C3.R3.P3,promoter 3,2.0
S4.C3.R3.LY,abs @470nm w/DMSO,9.46409
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,7.0
S4.C3.R3.P3,promoter 3,1.0
S4.C3.R3.LY,abs @470nm w/DMSO,1.72326
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,7.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,1.35324
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,7.0
S4.C3.R3.P3,promoter 3,14.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.77226
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,8.0
S4.C3.R3.P3,promoter 3,1.0
S4.C3.R3.LY,abs @470nm w/DMSO,1.78804
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,8.0
S4.C3.R3.P3,promoter 3,2.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.48279
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,8.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.89698
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,8.0
S4.C3.R3.P3,promoter 3,13.0
S4.C3.R3.LY,abs @470nm w/DMSO,4.32991
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,9.0
S4.C3.R3.P3,promoter 3,12.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.07309
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.19109
S4.C3.R3.P1,promoter 1,16.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,9.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.78474
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,5.0
S4.C3.R3.P3,promoter 3,9.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.28808
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,6.0
S4.C3.R3.P3,promoter 3,1.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.92591
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,8.0
S4.C3.R3.P3,promoter 3,18.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.57906
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,9.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,1.50705
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.71644
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,4.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.83559
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,5.0
S4.C3.R3.LY,abs @470nm w/DMSO,3.24607
S4.C3.R3.P1,promoter 1,17.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,6.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.05698
S4.C3.R3.P1,promoter 1,18.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,14.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.38685
S4.C3.R3.P1,promoter 1,18.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,10.0
S4.C3.R3.LY,abs @470nm w/DMSO,6.44505
S4.C3.R3.P1,promoter 1,18.0
S4.C3.R3.P2,promoter 2,3.0
S4.C3.R3.P3,promoter 3,15.0
S4.C3.R3.LY,abs @470nm w/DMSO,7.07776
S4.C3.R3.P1,promoter 1,18.0
S4.C3.R3.P2,promoter 2,8.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,2.25322
S4.C3.R3.P1,promoter 1,18.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,2.0
S4.C3.R3.LY,abs @470nm w/DMSO,9.28029
S4.C3.R3.P1,promoter 1,19.0
S4.C3.R3.P2,promoter 2,10.0
S4.C3.R3.P3,promoter 3,3.0
S4.C3.R3.LY,abs @470nm w/DMSO,1.40367
S4.C3.R3.P1,promoter 1,20.0
S4.C3.R3.P2,promoter 2,11.0
S4.C3.R3.P3,promoter 3,12.0
S4.C3.R3.LY,abs @470nm w/DMSO,5.85545
